,Layer Name,Input Feature Map Location,Input upsampling ratio,Input channels,Input rows,Input columns,Input bytes,Output Feature Map Location,Output down sampling location,Output channels,Output rows,Output columns,Output bytes,Filter co-efficient Location,Filter upsampling ratio,Filter grouping,Filter rows,Filter columns,Filter bytes,Input feature map movement time,Filter co-efficient movement time,Output feature map data movement time,Total data movement time,Matrix compute time,Vector compute time,Total compute time,Serial total time,Parallel total time
136,conv2d_45,1,1,160,15,21,50400,1,1,160,9,27,38880,0,1,160,7,1,179200,0.0,1.792e-05,0,1.792e-05,5.5125e-05,0.0,5.5125e-05,7.3045e-05,5.5125e-05
137,batch_normalization_45,1,1,160,9,27,38880,1,1,160,9,27,38880,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.215e-06,1.215e-06,1.215e-06,1.215e-06
138,activation_94,1,1,160,9,27,38880,1,1,160,9,27,38880,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.215e-06,1.215e-06,1.215e-06,1.215e-06
139,conv2d_41,1,1,768,15,21,241920,1,1,160,15,21,50400,0,1,160,1,1,122880,0.0,1.2288e-05,0,1.2288e-05,3.78e-05,0.0,3.78e-05,5.0088e-05,3.78e-05
140,conv2d_46,1,1,160,9,27,38880,1,1,160,15,21,50400,0,1,160,1,7,179200,0.0,1.792e-05,0,1.792e-05,4.2525e-05,0.0,4.2525e-05,6.0444999999999995e-05,4.2525e-05
141,batch_normalization_41,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
142,batch_normalization_46,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
143,activation_90,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
144,activation_95,1,1,160,15,21,50400,1,1,160,15,21,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
145,conv2d_42,1,1,160,15,21,50400,1,1,160,21,15,50400,0,1,160,1,7,179200,0.0,1.792e-05,0,1.792e-05,5.5125e-05,0.0,5.5125e-05,7.3045e-05,5.5125e-05
146,conv2d_47,1,1,160,15,21,50400,1,1,160,9,27,38880,0,1,160,7,1,179200,0.0,1.792e-05,0,1.792e-05,5.5125e-05,0.0,5.5125e-05,7.3045e-05,5.5125e-05
147,batch_normalization_42,1,1,160,21,15,50400,1,1,160,21,15,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
148,batch_normalization_47,1,1,160,9,27,38880,1,1,160,9,27,38880,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.215e-06,1.215e-06,1.215e-06,1.215e-06
149,activation_91,1,1,160,21,15,50400,1,1,160,21,15,50400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.575e-06,1.575e-06,1.575e-06,1.575e-06
150,activation_96,1,1,160,9,27,38880,1,1,160,9,27,38880,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.215e-06,1.215e-06,1.215e-06,1.215e-06
151,average_pooling2d_4,1,1,768,15,21,241920,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,7.56e-06,7.56e-06,7.56e-06,7.56e-06
152,conv2d_40,1,1,768,15,21,241920,1,1,192,15,21,60480,0,1,192,1,1,147456,0.0,1.47456e-05,0,1.47456e-05,4.536e-05,0.0,4.536e-05,6.0105599999999996e-05,4.536e-05
153,conv2d_43,1,1,160,21,15,50400,1,1,192,15,21,60480,0,1,192,7,1,215040,0.0,2.1504e-05,0,2.1504e-05,6.615e-05,0.0,6.615e-05,8.7654e-05,6.615e-05
154,conv2d_48,1,1,160,9,27,38880,1,1,192,15,21,60480,0,1,192,1,7,215040,0.0,2.1504e-05,0,2.1504e-05,5.103e-05,0.0,5.103e-05,7.2534e-05,5.103e-05
155,conv2d_49,1,1,160,13,25,52000,1,1,192,13,25,62400,0,1,192,1,1,30720,0.0,3.072e-06,0,3.072e-06,9.75e-06,0.0,9.75e-06,1.2822e-05,9.75e-06
156,batch_normalization_40,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
157,batch_normalization_43,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
158,batch_normalization_48,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
159,batch_normalization_49,1,1,192,13,25,62400,1,1,192,13,25,62400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.95e-06,1.95e-06,1.95e-06,1.95e-06
160,activation_89,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
161,activation_92,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
162,activation_97,1,1,192,15,21,60480,1,1,192,15,21,60480,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.89e-06,1.89e-06,1.89e-06,1.89e-06
163,activation_98,1,1,192,13,25,62400,1,1,192,13,25,62400,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.95e-06,1.95e-06,1.95e-06,1.95e-06
164,mixed5,1,1,192,13,25,243840,1,1,768,13,25,249600,0,0,0,0,0,0,1.8144e-05,0.0,0,1.8144e-05,0.0,0.0,0.0,1.8144e-05,1.8144e-05
165,conv2d_54,1,1,768,13,25,249600,1,1,160,13,25,52000,0,1,160,1,1,122880,0.0,1.2288e-05,0,1.2288e-05,3.9e-05,0.0,3.9e-05,5.1288e-05,3.9e-05
166,batch_normalization_54,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
167,activation_103,1,1,160,13,25,52000,1,1,160,13,25,52000,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.625e-06,1.625e-06,1.625e-06,1.625e-06
168,conv2d_55,1,1,160,13,25,52000,1,1,160,7,31,34720,0,1,160,7,1,179200,0.0,1.792e-05,0,1.792e-05,5.6875e-05,0.0,5.6875e-05,7.4795e-05,5.6875e-05
169,batch_normalization_55,1,1,160,7,31,34720,1,1,160,7,31,34720,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.085e-06,1.085e-06,1.085e-06,1.085e-06
170,activation_104,1,1,160,7,31,34720,1,1,160,7,31,34720,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.085e-06,1.085e-06,1.085e-06,1.085e-06
171,conv2d_51,1,1,768,13,25,249600,1,1,160,13,25,52000,0,1,160,1,1,122880,0.0,1.2288e-05,0,1.2288e-05,3.9e-05,0.0,3.9e-05,5.1288e-05,3.9e-05
